time,open,high,low,close,tick_volume,spread,real_volume
2026-06-27 11:20:00,60345.44,60396.91,60345.44,60377.21,588,1200,0
2026-06-27 11:25:00,60377.19,60391.57,60341.84,60360.26,534,1200,0
2026-06-27 11:30:00,60360.26,60370.15,60342.03,60359.91,523,1200,0
2026-06-27 11:35:00,60359.91,60369.13,60284.87,60305.99,926,1200,0
2026-06-27 11:40:00,60305.98,60322.75,60263.92,60282.58,840,1200,0
2026-06-27 11:45:00,60282.58,60343.55,60270.01,60320.41,667,1200,0
2026-06-27 11:50:00,60320.38,60429.49,60306.16,60379.75,1199,1200,0
2026-06-27 11:55:00,60379.75,60390.81,60344.59,60358.02,591,1200,0
2026-06-27 12:00:00,60358.02,60359.76,60316.14,60354.35,633,1200,0
2026-06-27 12:05:00,60354.35,60417.91,60343.52,60351.38,909,1200,0
2026-06-27 12:10:00,60351.4,60362.2,60236.9,60265.97,1227,1200,0
2026-06-27 12:15:00,60265.97,60266.03,60184.76,60239.36,1394,1200,0
2026-06-27 12:20:00,60239.38,60268.01,60223.97,60228.71,770,1200,0
2026-06-27 12:25:00,60228.74,60282.76,60228.41,60264.59,621,1200,0
2026-06-27 12:30:00,60264.74,60353.44,60264.74,60322.36,975,1200,0
2026-06-27 12:35:00,60322.36,60343.44,60300.35,60311.75,571,1200,0
2026-06-27 12:40:00,60311.72,60330.57,60291.24,60302.69,606,1200,0
2026-06-27 12:45:00,60302.71,60344.02,60286.17,60310.7,924,1200,0
2026-06-27 12:50:00,60310.71,60318.7,60281.41,60307.0,805,1200,0
2026-06-27 12:55:00,60307.81,60348.14,60305.14,60323.45,645,1200,0
2026-06-27 13:00:00,60323.54,60358.47,60299.36,60336.47,715,1200,0
2026-06-27 13:05:00,60325.67,60341.7,60317.66,60328.52,458,1200,0
2026-06-27 13:10:00,60328.51,60383.83,60317.54,60383.82,596,1200,0
2026-06-27 13:15:00,60383.82,60383.82,60342.13,60375.42,621,1200,0
2026-06-27 13:20:00,60376.1,60398.05,60359.42,60383.86,626,1200,0
2026-06-27 13:25:00,60383.86,60394.65,60338.73,60364.45,724,1200,0
2026-06-27 13:30:00,60364.45,60364.48,60302.4,60323.49,775,1200,0
2026-06-27 13:35:00,60323.45,60356.74,60319.42,60353.13,688,1200,0
2026-06-27 13:40:00,60353.13,60355.69,60305.25,60325.67,571,1200,0
2026-06-27 13:45:00,60324.56,60336.49,60296.09,60307.03,648,1200,0
2026-06-27 13:50:00,60306.9,60316.96,60270.21,60292.33,679,1200,0
2026-06-27 13:55:00,60292.35,60325.69,60282.78,60322.52,602,1200,0
2026-06-27 14:00:00,60322.5,60358.38,60294.84,60340.62,709,1200,0
2026-06-27 14:05:00,60340.62,60343.41,60253.65,60303.73,830,1200,0
2026-06-27 14:10:00,60303.73,60319.31,60283.61,60306.37,460,1200,0
2026-06-27 14:15:00,60295.57,60306.39,60207.75,60232.96,945,1200,0
2026-06-27 14:20:00,60233.02,60260.58,60217.57,60240.76,666,1200,0
2026-06-27 14:25:00,60240.72,60248.15,60120.72,60169.05,923,1200,0
2026-06-27 14:30:00,60169.05,60194.94,60149.72,60194.79,716,1200,0
2026-06-27 14:35:00,60183.99,60212.75,60088.19,60146.9,1364,1200,0
2026-06-27 14:40:00,60136.1,60176.13,60103.45,60175.84,853,1200,0
2026-06-27 14:45:00,60175.84,60333.46,60173.3,60250.03,1719,1200,0
2026-06-27 14:50:00,60250.03,60264.63,60212.4,60258.89,923,1200,0
2026-06-27 14:55:00,60258.89,60284.77,60247.66,60256.87,677,1200,0
2026-06-27 15:00:00,60256.83,60260.73,60195.39,60246.94,806,1200,0
2026-06-27 15:05:00,60246.93,60246.93,60207.68,60234.78,559,1200,0
2026-06-27 15:10:00,60234.78,60236.67,60144.79,60198.7,804,1200,0
2026-06-27 15:15:00,60198.69,60225.5,60186.78,60203.18,513,1200,0
2026-06-27 15:20:00,60203.07,60254.45,60191.84,60212.41,979,1200,0
2026-06-27 15:25:00,60212.25,60242.75,60199.85,60242.75,646,1200,0
2026-06-27 15:30:00,60231.95,60258.45,60230.17,60258.3,132,1200,0
2026-06-27 15:35:00,60279.95,60294.56,60202.89,60209.36,447,1200,0
2026-06-27 15:40:00,60220.16,60243.69,60199.45,60219.57,657,1200,0
2026-06-27 15:45:00,60219.59,60241.99,60200.34,60241.76,564,1200,0
2026-06-27 16:00:00,60309.14,60383.64,60308.73,60327.81,1086,1200,0
2026-06-27 16:05:00,60327.97,60331.4,60281.15,60316.58,1004,1200,0
2026-06-27 16:10:00,60327.38,60354.75,60303.25,60339.58,743,1200,0
2026-06-27 16:15:00,60339.58,60341.54,60285.69,60332.22,868,1200,0
2026-06-27 16:20:00,60332.05,60387.58,60318.74,60352.92,966,1200,0
2026-06-27 16:25:00,60352.88,60391.2,60343.95,60372.99,940,1200,0
2026-06-27 16:30:00,60372.97,60372.98,60335.51,60368.98,524,1200,0
2026-06-27 16:35:00,60368.98,60578.91,60343.0,60513.91,2307,1200,0
2026-06-27 16:40:00,60515.96,60567.69,60465.32,60492.66,1645,1200,0
2026-06-27 16:45:00,60493.28,60533.16,60440.64,60468.41,1821,1200,0
2026-06-27 16:50:00,60468.42,60494.9,60442.59,60463.45,897,1200,0
2026-06-27 22:00:00,60459.0,60499.13,60446.91,60496.23,733,1200,0
2026-06-27 22:05:00,60496.18,60506.92,60464.53,60479.55,722,1200,0
2026-06-27 22:10:00,60479.5,60507.96,60470.59,60489.07,733,1200,0
2026-06-27 22:15:00,60489.64,60500.72,60357.81,60361.87,1170,1200,0
2026-06-27 22:20:00,60361.78,60385.18,60239.39,60271.55,1264,1200,0
2026-06-27 22:25:00,60270.18,60276.93,60141.9,60229.25,2676,1200,0
2026-06-27 22:30:00,60229.25,60231.35,60020.01,60084.3,2800,1200,0
2026-06-27 22:35:00,60084.39,60134.72,59956.19,60056.59,2110,1200,0
2026-06-27 22:40:00,60056.58,60110.08,60046.36,60097.32,1389,1200,0
2026-06-27 22:45:00,60097.32,60153.02,60027.88,60109.98,1243,1200,0
2026-06-27 22:50:00,60109.97,60126.43,60068.0,60071.24,1038,1200,0
2026-06-27 22:55:00,60071.24,60092.89,60021.52,60071.0,1038,1200,0
2026-06-27 23:00:00,60071.01,60162.75,60062.45,60151.88,1189,1200,0
2026-06-27 23:05:00,60150.76,60187.98,60143.43,60152.08,912,1200,0
2026-06-27 23:10:00,60151.92,60197.29,60143.57,60154.28,975,1200,0
2026-06-27 23:15:00,60154.37,60207.08,60149.8,60167.63,846,1200,0
2026-06-27 23:20:00,60167.64,60209.15,60154.38,60173.55,897,1200,0
2026-06-27 23:25:00,60173.46,60176.03,60141.93,60175.38,856,1200,0
2026-06-27 23:30:00,60175.35,60180.79,60151.73,60162.0,629,1200,0
2026-06-27 23:35:00,60161.72,60180.62,60142.41,60169.04,668,1200,0
2026-06-27 23:40:00,60169.2,60184.38,60144.51,60146.55,814,1200,0
2026-06-27 23:45:00,60146.55,60212.13,60146.55,60171.18,813,1200,0
2026-06-27 23:50:00,60171.14,60204.55,60167.91,60179.6,682,1200,0
2026-06-27 23:55:00,60179.71,60188.86,60155.61,60175.35,382,1200,0
2026-06-28 00:00:00,60209.51,60266.23,60197.96,60231.22,954,1200,0
2026-06-28 00:05:00,60231.22,60275.85,60220.49,60261.91,851,1200,0
2026-06-28 00:10:00,60261.88,60310.14,60247.99,60298.81,1010,1200,0
2026-06-28 00:15:00,60298.81,60298.81,60248.13,60283.36,874,1200,0
2026-06-28 00:20:00,60294.16,60367.86,60276.58,60305.79,1253,1200,0
2026-06-28 00:25:00,60306.09,60356.45,60290.91,60355.04,1105,1200,0
2026-06-28 00:30:00,60355.06,60390.21,60336.37,60347.26,1012,1200,0
2026-06-28 00:35:00,60347.37,60347.65,60196.29,60205.11,1131,1200,0
2026-06-28 00:40:00,60205.11,60207.04,60124.02,60141.14,1284,1200,0
2026-06-28 00:45:00,60141.35,60203.51,60122.14,60160.02,1700,1200,0
2026-06-28 00:50:00,60159.82,60168.01,60032.2,60077.75,2109,1200,0
2026-06-28 00:55:00,60077.78,60129.77,60072.54,60105.9,1015,1200,0
2026-06-28 01:00:00,60105.88,60105.88,59969.9,60007.84,2005,1200,0
2026-06-28 01:05:00,60007.84,60054.57,59934.22,60025.52,1598,1200,0
2026-06-28 01:10:00,60025.53,60057.47,60019.66,60032.11,970,1200,0
2026-06-28 01:15:00,60032.01,60032.01,59734.52,59905.4,3853,1200,0
2026-06-28 01:20:00,59905.35,59994.73,59894.01,59960.77,1904,1200,0
2026-06-28 01:25:00,59960.77,60080.21,59944.09,60027.5,1518,1200,0
2026-06-28 01:30:00,60027.26,60104.49,60018.99,60093.02,1819,1200,0
2026-06-28 01:35:00,60093.02,60170.45,60058.84,60111.97,1673,1200,0
2026-06-28 01:40:00,60111.89,60136.16,60058.13,60083.2,889,1200,0
